Sentence,Label
 Its fun oh wow a full obstable course,entertainment
" It's fun to play anything with friends, I think",entertainment
 It's kind of like drinking melted chocolate bars haha I recently tried it for the first time and you're right - it had a wonderful melted chocolate bar taste,food
" it's more fun to do it with friends
",entertainment
 it's nice I guess ðŸ™‚ lots of great food,food
 Just getting ready to watch a basketball game,entertainment
" Just got my first monitor this week nice I'm tyring to learn guitar recently also, it's so hard to play f chord
",entertainment
 lots of fun stuff,entertainment
 Lots of meetings as well ðŸ™‚ Do you have any fun plans for Thanksgiving,entertainment
 My favorite food is Chinese,food
" oh no, so it's not happy ending",emotion
" oh wow, that sounds like so much fun",entertainment
" only eat them ðŸ˜€
",food
 Pictionary is fun,entertainment
 Rock climbing sounds fun,entertainment
" So I guess it is happy ending
",emotion
" So I'm a mix of helpless, sad, and angry",emotion
" So yup it was great Haha, nice ðŸ™‚ Got any fun plans for the weekend",entertainment
 sounds fun,entertainment
 Sounds like fun,entertainment
 stay happy; I think family and friends play a big role here,entertainment
 Tell me a joke,entertainment
 that does sound fun,entertainment
 That sounds fun,entertainment
" That's interesting, borderline spooky There's this practice called ""Treasure Hunting"" that's kind of a fun game you play in a public place",entertainment
 that's really sad,emotion
 that's still pretty fun are you going to cook the turkey yourself,entertainment
 The game is brutal like that,entertainment
 the game takes a very long time to finish though,entertainment
 The main difference is that both players play in the same 'court' and the ball is smashed against a wall instead of passing it over a net into the opponent's court,entertainment
" They sell spiders, scorpions, and grasshoppers as street food",food
" this trip will mostly be about food though, and relaxing
",food
 Very excited about the game later today,entertainment
 Was a lot of fun exploring all these new places,entertainment
 we played a lot of fun games in our party,entertainment
" well, the food around the area is amazing, which is definitely a plus",food
 we're gonna play board games and will be eating lots of food,food
 we're gonna play board games and will be eating lots of food,entertainment
 what are y'all eating,food
 what did you play,entertainment
 What does your son like to do for fun,entertainment
 what food do you like to eat,food
 what game,entertainment
" what is mellow style I think it's like a bit sad and slow
",emotion
 What is your favoriate cuisine,food
 What kind of food would you have eaten if it wasn't rainy,food
 What sort of food do you feel like,food
 What types of food do you like to eat,food
 What's your best joke,entertainment
 What's your favourite game,entertainment
" When my top favorite food looks like: cookies, M&M, danish cheese, etc",food
 Where and what did you eat,food
" Wow, must be fun to watch lol Are you planning anything for the weekend",entertainment
 yeah I'm gonna go kayaking Kayaking sounds fun,entertainment
" Yeah of course The fun fact is that the owner of <REDACTED_TERM> used to run <REDACTED_TERM> oh interesting I also like Easterly
",entertainment
" Yeah right, I heard the food there is good",food
" yes happy to help
",emotion
" Yes, no shopping plans but I can't wait to eat thanksgiving food",food
" you need not wait for thanksgiving for pumpkin pie ðŸ™‚ LOL I feel less guilty about eating a whole pie when i have the excuse :P
",food
" You should drink more water, do some push up, and sleep early",food
", I know that I have a thing for sweet food",food
 Doctor I feel weak and do not feel like eating,food
 Do you drink a lot of water,food
 Did you took any medicine,medical
 Good Morning doctor,medical
 Yes doctor,medical
 You have a moderate fever,medical
 The number of dots in front of each medicine name tells you how many times in the day you have to take them,medical
" For example, the two dots here mean you’ve to take the medicine twice in the day, once in the morning and once after dinner",medical
" No, doctor",medical
(The doctor formulates his observations on his letterhead and gives it over to the Patient,medical
 The person then admits the patient and visits the doctor again the next morning with new reports in hand,medical
"Attendant: Thank you, doctor",medical
 It is possible that you had contaminated food,food
" Any medicines, doctor",medical
" Thank you, doctor",medical
